City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Trairi,BR,80.37,scattered clouds,-3.2778,-39.2689,janelas do mar
298,Merauke,ID,87.62,overcast clouds,-8.4667,140.3333,
300,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
303,Prachuap Khiri Khan,TH,78.69,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
306,Amahai,ID,85.71,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
307,Mlonggo,ID,85.89,broken clouds,-6.5333,110.7,Asia Metal Art
312,Amuntai,ID,83.17,overcast clouds,-2.4177,115.2494,Hotel Balqis
314,Townsville,AU,83.28,broken clouds,-19.25,146.8,Rydges Southbank Townsville
317,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
319,Sinnamary,GF,77.31,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
320,Am Timan,TD,75.76,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
325,Monrovia,LR,79.0,light rain,6.3005,-10.7969,Sunset Inn
330,Kilindoni,TZ,80.29,light rain,-7.9139,39.6668,Bustani B&B
331,Mananara,MG,75.15,light rain,-16.1667,49.7667,Chez Roger
336,Urucara,BR,77.36,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
339,Phan Thiet,VN,82.18,overcast clouds,10.9333,108.1,Hotel Saigon-PT
340,Sungairaya,ID,85.35,overcast clouds,0.7,108.9,Mess P.Milu
341,Luanda,AO,77.23,overcast clouds,-8.8368,13.2343,Hotel Fórum
342,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
347,Ruteng,ID,76.05,overcast clouds,-8.6136,120.4721,Hotel FX 72
348,Mackay,AU,86.68,few clouds,-21.15,149.2,International Lodge Motel
352,Esmeraldas,BR,76.06,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
353,Guarapari,BR,78.89,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
356,Carlagan,PH,83.43,overcast clouds,14.975,122.0456,Cabatagan Island
360,La Palma,US,76.35,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
362,Kiama,AU,76.24,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
363,Kloulklubed,PW,86.5,light rain,7.0419,134.2556,Storyboard Beach Resort
364,Wanning,CN,76.89,broken clouds,18.8003,110.3967,Paradise Hotel
